Time(s),Value(mm)
6.82,0
6.84,0
6.86,0
6.88,0
6.9,0
6.92,0
6.94,0
6.96,0
6.98,0
7,0
7.02,0
7.04,0
7.06,0
7.08,0
7.1,0
7.12,0
7.14,0
7.16,0
7.18,0
7.2,0
7.22,0
7.24,0
7.26,0
7.28,4.35626316070557
7.3,4.3623312328543
7.32,4.36839930500303
7.34,4.37446737715176
7.36,4.38053544930049
7.38,4.38660352144923
7.4,4.39267159359796
7.42,4.39873966574669
7.44,4.40480773789542
7.46,4.41087581004415
7.48,4.41694388219288
7.5,4.42301195434162
7.52,4.42908002649035
7.54,4.43514809863908
7.56,4.44121617078781
7.58,4.44728424293654
7.6,4.45335231508527
7.62,4.45942038723401
7.64,4.46548845938274
7.66,4.47155653153147
7.68,4.4776246036802
7.7,4.48369267582893
7.72,4.48976074797767
7.74,4.4958288201264
7.76,4.50189689227513
7.78,4.50796496442386
7.8,4.51403303657259
7.82,4.52010110872132
7.84,4.52616918087006
7.86,4.53223725301879
7.88,4.53830532516752
7.9,4.54437339731625
7.92,4.55044146946498
7.94,4.55650954161371
7.96,4.56257761376245
7.98,4.56864568591118
8,4.57471375805991
8.02,4.58078183020864
8.04,4.58684990235737
8.06,4.59291797450611
8.08,4.59898604665484
8.1,4.60505411880357
8.12,4.6111221909523
8.14,4.61719026310103
8.16,4.62325833524976
8.18,4.6293264073985
8.2,4.63539447954723
8.22,4.64146255169596
8.24,4.64753062384469
8.26,4.65359869599342
8.28,4.65966676814215
8.3,4.66573484029089
8.32,4.67180291243962
8.34,4.67787098458835
8.36,4.68393905673708
8.38,4.69000712888581
8.4,4.69607520103455
8.42,4.70214327318328
8.44,4.70821134533201
8.46,4.71427941748074
8.48,4.72034748962947
8.5,4.7264155617782
8.52,4.73248363392694
8.54,4.73855170607567
8.56,4.7446197782244
8.58,4.75068785037313
8.6,4.75675592252186
8.62,4.7628239946706
8.64,4.76889206681933
8.66,4.77496013896806
8.68,4.78102821111679
8.7,4.78709628326552
8.72,4.79316435541425
8.74,4.79923242756299
8.76,4.80530049971172
8.78,4.81136857186045
8.8,4.81743664400918
8.82,4.82350471615791
8.84,4.82957278830664
8.86,4.83564086045538
8.88,4.84170893260411
8.9,4.84777700475284
8.92,4.85384507690157
8.94,4.8599131490503
8.96,4.86598122119904
8.98,4.87204929334777
9,4.8781173654965
9.02,4.88418543764523
9.04,4.89025350979396
9.06,4.89632158194269
9.08,4.90238965409143
9.1,4.90845772624016
9.12,4.91452579838889
9.14,4.92059387053762
9.16,4.92666194268635
9.18,4.93273001483509
9.2,4.93879808698382
9.22,4.94486615913255
9.24,4.95093423128128
9.26,4.95700230343001
9.28,4.96307037557874
9.3,4.96913844772748
9.32,4.97520651987621
9.34,4.98127459202494
9.36,4.98734266417367
9.38,4.9934107363224
9.4,4.99947880847114
9.42,5.00554688061987
9.44,5.0116149527686
9.46,5.01768302491733
9.48,5.02375109706606
9.5,5.02981916921479
9.52,5.02981916921479
9.54,5.02096553282304
9.56,5.00604382428256
9.58,4.99112211574208
9.6,4.97620040720159
9.62,4.96127869866111
9.64,4.94635699012063
9.66,4.93143528158014
9.68,4.91651357303966
9.7,4.90159186449918
9.72,4.8866701559587
9.74,4.87174844741821
9.76,4.81630611419678
9.78,4.75689291954041
9.8,4.72079569952829
9.82,4.72079569952829
9.84,4.74411167417254
9.86,4.76742764881679
9.88,4.79074362346104
9.9,4.81405959810529
9.92,4.83737557274955
9.94,4.8606915473938
9.96,4.91836452484131
9.98,4.92785155773163
10,4.93733859062195
10.02,4.94682562351227
10.04,4.95631265640259
10.06,4.96579968929291
10.08,4.97528672218323
10.1,4.98477375507355
10.12,4.99426078796387
10.14,5.00374782085419
10.16,5.01323485374451
10.18,5.02272188663483
10.2,5.03220891952515
10.22,5.04169595241547
10.24,5.05118298530579
10.26,5.06067001819611
10.28,5.07015705108643
10.3,5.07964408397675
10.32,5.08913111686707
10.34,5.09861814975739
10.36,5.10810518264771
10.38,5.11759221553802
10.4,5.12707924842834
10.42,5.13656628131866
10.44,5.14605331420898
10.46,5.1555403470993
10.48,5.16502737998962
10.5,5.17451441287994
10.52,5.18400144577026
10.54,5.58120559155941
10.56,5.58120559155941
10.58,5.56841894984245
10.6,5.5556323081255
10.62,5.54284566640854
10.64,5.53005902469158
10.66,5.51727238297462
10.68,5.50448574125767
10.7,5.49169909954071
10.72,5.47891245782375
10.74,5.4661258161068
10.76,5.45333917438984
10.78,5.44055253267288
10.8,5.42776589095592
10.82,5.41497924923897
10.84,5.40219260752201
10.86,5.38940596580505
10.88,5.3766193240881
10.9,5.36383268237114
10.92,5.35104604065418
10.94,5.33825939893723
10.96,5.32547275722027
10.98,5.31268611550331
11,5.29989947378635
11.02,5.2871128320694
11.04,5.27432619035244
11.06,5.26153954863548
11.08,5.24875290691853
11.1,5.23596626520157
11.12,5.22317962348461
11.14,5.21039298176765
11.16,5.1976063400507
11.18,5.18481969833374
11.2,5.00767517089844
11.22,4.93167972564697
11.24,4.89049768447876
11.26,4.87355082375663
11.28,4.85660396303449
11.3,4.83965710231236
11.32,4.82271024159023
11.34,4.80576338086809
11.36,4.78881652014596
11.38,4.77186965942383
11.4,4.73786020278931
11.42,4.72275134495326
11.44,4.72275134495326
11.46,4.72731106621878
11.48,4.73187078748431
11.5,4.73643050874983
11.52,4.74099023001535
11.54,4.74554995128087
11.56,4.75010967254639
11.58,4.84085845947266
11.6,4.87832927703857
11.62,4.91580009460449
11.64,4.9311648607254
11.66,4.94652962684631
11.68,4.96189439296722
11.7,4.97725915908813
11.72,4.99262392520905
11.74,5.00798869132996
11.76,5.02335345745087
11.78,5.03871822357178
11.8,5.05408298969269
11.82,5.0694477558136
11.84,5.08481252193451
11.86,5.10017728805542
11.88,5.11554205417633
11.9,5.13090682029724
11.92,5.14627158641815
11.94,5.16163635253906
11.96,5.17700111865997
11.98,5.19236588478088
12,5.20773065090179
12.02,5.20773065090179
12.04,5.09228229522705
12.06,4.9614691734314
12.08,4.9614691734314
12.1,5.01635551452637
12.12,5.01635551452637
12.14,5.00359487533569
12.16,4.97848320007324
12.18,4.95310211181641
12.2,4.93423366546631
12.22,4.88748598098755
12.24,4.86289205551147
12.26,4.8382981300354
12.28,4.81370420455933
12.3,4.78911027908325
12.32,4.76451635360718
12.34,4.7399224281311
12.36,4.71532850265503
12.38,4.69073457717896
12.4,4.66614065170288
12.42,4.64154672622681
12.44,4.61695280075073
12.46,4.59235887527466
12.48,4.56776494979858
12.5,4.54317102432251
12.52,4.51857709884644
12.54,4.49398317337036
12.56,4.46938924789429
12.58,4.44479532241821
12.6,4.42020139694214
12.62,4.40275690290663
12.64,4.40275690290663
12.66,4.40990633434719
12.68,4.41705576578776
12.7,4.42420519722833
12.72,4.43135462866889
12.74,4.43850406010946
12.76,4.44565349155002
12.78,4.45280292299059
12.8,4.45995235443115
12.82,4.46710178587172
12.84,4.47425121731228
12.86,4.48140064875285
12.88,4.48855008019341
12.9,4.49569951163398
12.92,4.50284894307454
12.94,4.50999837451511
12.96,4.51714780595568
12.98,4.52429723739624
13,4.53144666883681
13.02,4.53859610027737
13.04,4.54574553171794
13.06,4.5528949631585
13.08,4.56004439459907
13.1,4.56719382603963
13.12,4.5743432574802
13.14,4.58149268892076
13.16,4.58864212036133
13.18,4.59579155180189
13.2,4.60294098324246
13.22,4.61009041468302
13.24,4.61723984612359
13.26,4.62438927756415
13.28,4.63153870900472
13.3,4.63868814044529
13.32,4.64583757188585
13.34,4.65298700332642
13.36,4.66013643476698
13.38,4.66728586620755
13.4,4.67443529764811
13.42,4.68158472908868
13.44,4.68873416052924
13.46,4.69588359196981
13.48,4.70303302341037
13.5,4.71018245485094
13.52,4.7173318862915
13.54,4.72448131773207
13.56,4.73163074917263
13.58,4.7387801806132
13.6,4.74592961205377
13.62,4.75307904349433
13.64,4.7602284749349
13.66,4.76737790637546
13.68,4.77452733781603
13.7,4.78167676925659
13.72,4.78882620069716
13.74,4.79597563213772
13.76,4.80312506357829
13.78,4.81027449501885
13.8,4.81742392645942
13.82,4.82457335789998
13.84,4.83172278934055
13.86,4.83887222078111
13.88,4.84602165222168
13.9,4.85317108366224
13.92,4.86032051510281
13.94,4.86746994654338
13.96,4.87461937798394
13.98,4.88176880942451
14,4.88891824086507
14.02,4.89606767230564
14.04,4.9032171037462
14.06,4.91036653518677
14.08,4.91751596662733
14.1,4.9246653980679
14.12,4.93181482950846
14.14,4.93896426094903
14.16,4.94611369238959
14.18,4.95326312383016
14.2,4.96041255527073
14.22,4.96756198671129
14.24,4.97471141815186
14.26,4.98186084959242
14.28,4.98901028103299
14.3,4.99615971247355
14.32,5.00330914391412
14.34,5.01045857535468
14.36,5.01760800679525
14.38,5.02475743823581
14.4,5.03190686967638
14.42,5.03190686967638
14.44,5.02055597305298
14.46,4.85807371139526
14.48,4.74411964416504
14.5,4.73038017749786
14.52,4.71664071083069
14.54,4.70290124416351
14.56,4.68916177749634
14.58,4.66134834289551
14.6,4.66134834289551
14.62,4.72880935668945
14.64,4.72880935668945
14.66,4.7152795791626
14.68,4.71098494529724
14.7,4.71098494529724
14.72,4.71098494529724
14.74,4.78302009900411
14.76,4.85934988657633
14.78,4.93567967414856
14.8,5.01200946172078
14.82,5.08833924929301
14.84,5.16466903686523
14.86,5.16466903686523
14.88,4.9942569732666
14.9,4.87960004806519
14.92,4.87881240423988
14.94,4.87881240423988
14.96,4.87802476041457
14.98,4.87723711658927
15,4.87644947276396
15.02,4.87566182893865
15.04,4.87487418511335
15.06,4.87408654128804
15.08,4.87329889746273
15.1,4.87251125363743
15.12,4.87172360981212
15.14,4.87093596598681
15.16,4.87014832216151
15.18,4.8693606783362
15.2,4.86857303451089
15.22,4.86778539068559
15.24,4.86699774686028
15.26,4.86621010303497
15.28,4.86542245920967
15.3,4.86463481538436
15.32,4.86384717155905
15.34,4.86305952773375
15.36,4.86227188390844
15.38,4.86148424008313
15.4,4.86069659625783
15.42,4.85990895243252
15.44,4.85912130860721
15.46,4.85833366478191
15.48,4.8575460209566
15.5,4.85675837713129
15.52,4.85597073330599
15.54,4.85518308948068
15.56,4.85439544565537
15.58,4.85360780183007
15.6,4.85282015800476
15.62,4.85203251417945
15.64,4.85124487035415
15.66,4.85045722652884
15.68,4.84966958270353
15.7,4.84888193887823
15.72,4.84809429505292
15.74,4.84730665122761
15.76,4.84651900740231
15.78,4.845731363577
15.8,4.84494371975169
15.82,4.84415607592639
15.84,4.84336843210108
15.86,4.84258078827578
15.88,4.84179314445047
15.9,4.84100550062516
15.92,4.84021785679986
15.94,4.83943021297455
15.96,4.83864256914924
15.98,4.83785492532393
16,4.83706728149863
16.02,4.83627963767332
16.04,4.83549199384802
16.06,4.83470435002271
16.08,4.8339167061974
16.1,4.8331290623721
16.12,4.83234141854679
16.14,4.83155377472148
16.16,4.83076613089618
16.18,4.82997848707087
16.2,4.82919084324556
16.22,4.82840319942026
16.24,4.82761555559495
16.26,4.82682791176964
16.28,4.82604026794434
16.3,4.793776512146
16.32,4.76759624481201
16.34,4.76149702072144
16.36,4.75539779663086
16.38,4.74805068969727
16.4,4.74070358276367
16.42,4.73673248291016
16.44,4.73276138305664
16.46,4.72408080101013
16.48,4.71540021896362
16.5,4.68974955876668
16.52,4.66409889856974
16.54,4.64322471618652
16.56,4.64322471618652
16.58,4.64322471618652
16.6,4.5430965423584
16.62,4.54201493944441
16.64,4.54093333653041
16.66,4.53985173361642
16.68,4.53877013070243
16.7,4.53768852778843
16.72,4.53660692487444
16.74,4.53552532196045
16.76,4.49691820144653
16.78,4.46947717666626
16.8,4.46538710594177
16.82,4.46129703521729
16.84,4.42975473403931
16.86,4.39313411712646
16.88,4.38352108001709
16.9,4.37196969985962
16.92,4.35205626487732
16.94,4.33214282989502
16.96,4.33214282989502
16.98,4.32647657394409
17,4.32647657394409
17.02,4.3244423866272
17.04,4.3244423866272
17.06,4.32780933380127
17.08,4.33269119262695
17.1,4.34154510498047
17.12,4.3485107421875
17.14,4.42311096191406
17.16,4.49771118164063
17.18,4.55945014953613
17.2,4.5993914604187
17.22,4.60491418838501
17.24,4.60491418838501
17.26,4.61455821990967
17.28,4.62273740768433
17.3,4.63345289230347
17.32,4.63936710357666
17.34,4.64289951324463
17.36,4.64289951324463
17.38,4.63357257843018
17.4,4.61455774307251
17.42,4.60264492034912
17.44,4.59883499145508
17.46,4.59578561782837
17.48,4.59453439712524
17.5,4.59453439712524
17.52,4.59063005447388
17.54,4.58702802658081
17.56,4.58387231826782
17.58,4.57696342468262
17.6,4.57271337509155
17.62,4.56735229492188
17.64,4.56120491027832
17.66,4.55324459075928
17.68,4.54612588882446
17.7,4.53573894500732
17.72,4.53300714492798
17.74,4.53115034103394
17.76,4.52464580535889
17.78,4.52332878112793
17.8,4.51811552047729
17.82,4.51723480224609
17.84,4.51811552047729
17.86,4.53125500679016
17.88,4.54199409484863
17.9,4.54538440704346
17.92,4.54301261901855
17.94,4.54301261901855
17.96,4.53882646560669
17.98,4.53727960586548
18,4.53727960586548
18.02,4.53924751281738
18.04,4.54287624359131
18.06,4.54632091522217
18.08,4.54692840576172
18.1,4.55662775039673
18.12,4.55998134613037
18.14,4.56349992752075
18.16,4.56972789764404
18.18,4.57301807403564
18.2,4.57460737228394
18.22,4.57460737228394
18.24,4.57063722610474
18.26,4.56270837783813
18.28,4.55721712112427
18.3,4.54538488388062
18.32,4.53461980819702
18.34,4.52603197097778
18.36,4.51501703262329
18.38,4.51020878837222
18.4,4.50540054412115
18.42,4.50059229987008
18.44,4.49578405561901
18.46,4.49097581136794
18.48,4.48616756711687
18.5,4.4813593228658
18.52,4.47655107861473
18.54,4.47174283436367
18.56,4.4669345901126
18.58,4.46212634586153
18.6,4.45731810161046
18.62,4.45250985735939
18.64,4.44770161310832
18.66,4.44289336885725
18.68,4.43808512460618
18.7,4.43327688035511
18.72,4.42846863610404
18.74,4.42366039185297
18.76,4.4188521476019
18.78,4.41676624615987
18.8,4.41676624615987
18.82,4.41948858896891
18.84,4.42221093177795
18.86,4.424933274587
18.88,4.42765561739604
18.9,4.43037796020508
18.92,4.4520525932312
18.94,4.46020698547363
18.96,4.46582269668579
18.98,4.47372913360596
19,4.47883097942059
19.02,4.48393282523522
19.04,4.48903467104985
19.06,4.49413651686448
19.08,4.49923836267911
19.1,4.50434020849375
19.12,4.50944205430838
19.14,4.51454390012301
19.16,4.51964574593764
19.18,4.52474759175227
19.2,4.5298494375669
19.22,4.53495128338154
19.24,4.54005312919617
19.26,4.5451549750108
19.28,4.55025682082543
19.3,4.55535866664006
19.32,4.56046051245469
19.34,4.56556235826932
19.36,4.57066420408396
19.38,4.57576604989859
19.4,4.58086789571322
19.42,4.58596974152785
19.44,4.59107158734248
19.46,4.59617343315711
19.48,4.60127527897175
19.5,4.60637712478638
19.52,4.68727350234985
19.54,4.70700550079346
19.56,4.70700550079346
19.58,4.66196489334106
19.6,4.66196489334106
19.62,4.66363286972046
19.64,4.66363286972046
19.66,4.65277814865112
19.68,4.65277814865112
19.7,4.67936086654663
19.72,4.67936086654663
19.74,4.67936086654663
19.76,4.70257186889648
19.78,4.71017122268677
19.8,4.71017122268677
19.82,4.70102214813232
19.84,4.67216491699219
19.86,4.66931819915771
19.88,4.66647148132324
19.9,4.66612648963928
19.92,4.66612648963928
19.94,4.66970062255859
19.96,4.67417240142822
19.98,4.67693257331848
20,4.67969274520874
20.02,4.6873345375061
20.04,4.69360494613647
20.06,4.69374513626099
20.08,4.70005440711975
20.1,4.70650386810303
20.12,4.79047918319702
20.14,4.81282234191895
20.16,4.81282234191895
20.18,4.81929063796997
20.2,4.84963369369507
20.22,4.84963369369507
20.24,4.84533262252808
20.26,4.83645380867852
20.28,4.83645380867852
20.3,4.83985975053575
20.32,4.84326569239299
20.34,4.84667163425022
20.36,4.85007757610745
20.38,4.85348351796468
20.4,4.85688945982191
20.42,4.86029540167914
20.44,4.86370134353638
20.46,4.86710728539361
20.48,4.87051322725084
20.5,4.87391916910807
20.52,4.87732511096531
20.54,4.88073105282254
20.56,4.88413699467977
20.58,4.887542936537
20.6,4.89094887839423
20.62,4.89094887839423
20.64,4.66570234298706
20.66,4.43704986572266
20.68,4.43518304824829
20.7,4.43518304824829
20.72,4.51142740249634
20.74,4.51685846419561
20.76,4.52228952589489
20.78,4.52772058759417
20.8,4.53315164929345
20.82,4.53858271099272
20.84,4.544013772692
20.86,4.54944483439128
20.88,4.55487589609055
20.9,4.56030695778983
20.92,4.56573801948911
20.94,4.57116908118838
20.96,4.57660014288766
20.98,4.58203120458694
21,4.58746226628621
21.02,4.59289332798549
21.04,4.59832438968477
21.06,4.60375545138404
21.08,4.60918651308332
21.1,4.6146175747826
21.12,4.62004863648188
21.14,4.62547969818115
21.16,4.64758968353271
21.18,4.64758968353271
21.2,4.61665163040161
21.22,4.61665163040161
21.24,4.61885852813721
21.26,4.6210654258728
21.28,4.6232723236084
21.3,4.62547922134399
21.32,4.62768611907959
21.34,4.62989301681519
21.36,4.63209991455078
21.38,4.63430681228638
21.4,4.63651371002197
21.42,4.63872060775757
21.44,4.64092750549316
21.46,4.64313440322876
21.48,4.64534130096436
21.5,4.64754819869995
21.52,4.64975509643555
21.54,4.65196199417114
21.56,4.65416889190674
21.58,4.65637578964233
21.6,4.65637578964233
21.62,4.55963611602783
21.64,4.54763841629028
21.66,4.54700183868408
21.68,4.54763841629028
21.7,4.5465874671936
21.72,4.54590368270874
21.74,4.5454683303833
21.76,4.54095125198364
21.78,4.53581571578979
21.8,4.46100950241089
21.82,4.43119859695435
21.84,4.42689371109009
21.86,4.41959238052368
21.88,4.41108131408691
21.9,4.3986120223999
21.92,4.38819408416748
21.94,4.37750959396362
21.96,4.37750959396362
21.98,4.4808292388916
22,4.4808292388916
22.02,4.32577657699585
22.04,4.25793409347534
22.06,4.22355556488037
22.08,4.20073699951172
22.1,4.17833805084229
22.12,4.16305017471313
22.14,4.15506172180176
22.16,4.14261913299561
22.18,4.1392502784729
22.2,4.11984968185425
22.22,4.09988021850586
22.24,4.08060455322266
22.26,4.06351613998413
22.28,4.04651737213135
22.3,4.03418016433716
22.32,4.02716732025146
22.34,4.01108741760254
22.36,3.98638153076172
22.38,3.98638153076172
22.4,3.99490642547607
22.42,4.00591516494751
22.44,4.01657199859619
22.46,4.02877712249756
22.48,4.0310115814209
22.5,4.03138446807861
22.52,4.03445911407471
22.54,4.04098987579346
22.56,4.04371929168701
22.58,4.04371929168701
22.6,4.04371929168701
22.62,4.04431867599487
22.64,4.04848384857178
22.66,4.05338716506958
22.68,4.05626773834229
22.7,4.05920076370239
22.72,4.06049966812134
22.74,4.06237173080444
22.76,4.0643105506897
22.78,4.0696816444397
22.8,4.07665824890137
22.82,4.08043003082275
22.84,4.08809757232666
22.86,4.09944629669189
22.88,4.09944629669189
22.9,4.10602712631226
22.92,4.11282587051392
22.94,4.11994695663452
22.96,4.20200347900391
22.98,4.20200347900391
23,4.16083478927612
23.02,4.16083478927612
23.04,4.16161823272705
23.06,4.1745719909668
23.08,4.17641544342041
23.1,4.17641544342041
23.12,4.17641544342041
23.14,4.18276834487915
23.16,4.18462133407593
23.18,4.18465328216553
23.2,4.18462133407593
23.22,4.18753337860107
23.24,4.18970203399658
23.26,4.19961643218994
23.28,4.20414400100708
23.3,4.20414400100708
23.32,4.20135974884033
23.34,4.1994104385376
23.36,4.1994104385376
23.38,4.20327138900757
23.4,4.20660448074341
23.42,4.20660448074341
23.44,4.19490671157837
23.46,4.19086790084839
23.48,4.1703634262085
23.5,4.1703634262085
23.52,4.1756157875061
23.54,4.1756157875061
23.56,4.17427968978882
23.58,4.17427968978882
23.6,4.17574167251587
23.62,4.18034982681274
23.64,4.19051074981689
23.66,4.19444942474365
23.68,4.19753456115723
23.7,4.19753456115723
23.72,4.19374132156372
23.74,4.19331026077271
23.76,4.18023347854614
23.78,4.17855072021484
23.8,4.17855072021484
23.82,4.16697120666504
23.84,4.15863609313965
23.86,4.15278673171997
23.88,4.15278673171997
23.9,4.15281009674072
23.92,4.15281009674072
23.94,4.15257835388184
23.96,4.15129804611206
23.98,4.14329528808594
24,4.14049768447876
24.02,4.13456010818481
24.04,4.13232231140137
24.06,4.12438058853149
24.08,4.12295007705688
24.1,4.11813592910767
24.12,4.10914611816406
24.14,4.10525131225586
24.16,4.1016788482666
24.18,4.09762620925903
24.2,4.09393739700317
24.22,4.09325408935547
24.24,4.09325408935547
24.26,4.08626365661621
24.28,4.08252763748169
24.3,4.08252763748169
24.32,4.08407640457153
24.34,4.09363317489624
24.36,4.09836769104004
24.38,4.10195684432983
24.4,4.10747194290161
24.42,4.11031055450439
24.44,4.11417436599731
24.46,4.11777019500732
24.48,4.11777019500732
24.5,4.1177864074707
24.52,4.11970233917236
24.54,4.12211894989014
24.56,4.12373495101929
24.58,4.12660837173462
24.6,4.13295459747314
24.62,4.1402759552002
24.64,4.14654016494751
24.66,4.15206718444824
24.68,4.16021633148193
24.7,4.17101097106934
24.72,4.17101097106934
24.74,4.1393895149231
24.76,4.13484477996826
24.78,4.1325569152832
24.8,4.11758422851563
24.82,4.10889101028442
24.84,4.10314750671387
24.86,4.09906816482544
24.88,4.09906816482544
24.9,4.12512898445129
24.92,4.15343236923218
24.94,4.16756725311279
24.96,4.17414951324463
24.98,4.17414951324463
25,4.17314100265503
25.02,4.17156839370728
25.04,4.17193078994751
25.06,4.17193078994751
25.08,4.17965745925903
25.1,4.18395471572876
25.12,4.18425416946411
25.14,4.20001840591431
25.16,4.20013046264648
25.18,4.20013046264648
25.2,4.20775985717773
25.22,4.21334457397461
25.24,4.21785306930542
25.26,4.222580909729
25.28,4.22999286651611
25.3,4.26163101196289
25.32,4.33082675933838
25.34,4.33892488479614
25.36,4.33892488479614
25.38,4.34916257858276
25.4,4.35458850860596
25.42,4.35975360870361
25.44,4.36859130859375
25.46,4.37891817092896
25.48,4.3812370300293
25.5,4.3812370300293
25.52,4.34905815124512
25.54,4.34307909011841
25.56,4.34307909011841
25.58,4.35169839859009
25.6,4.35230398178101
25.62,4.35356378555298
25.64,4.46712923049927
25.66,4.46946573257446
25.68,4.48315525054932
25.7,4.49684476852417
25.72,4.51053428649902
25.74,4.52422380447388
25.76,4.53791332244873
25.78,4.55160284042358
25.8,4.56529235839844
25.82,4.57898187637329
25.84,4.59267139434814
25.86,4.606360912323
25.88,4.62005043029785
25.9,4.71683406829834
25.92,4.73490595817566
25.94,4.75297784805298
25.96,4.7710497379303
25.98,4.78912162780762
26,4.93900680541992
26.02,5.08418226242065
26.04,5.08418226242065
26.06,5.04796368735177
26.08,5.01174511228289
26.1,4.97552653721401
26.12,4.93930796214512
26.14,4.90308938707624
26.16,4.86687081200736
26.18,4.83065223693848
26.2,4.7092719078064
26.22,4.54196405410767
26.24,4.47492408752441
26.26,4.44834089279175
26.28,4.43377208709717
26.3,4.42538118362427
26.32,4.41848516464233
26.34,4.41013526916504
26.36,4.39122819900513
26.38,4.37710237503052
26.4,4.37180089950562
26.42,4.36190938949585
26.44,4.3530797958374
26.46,4.34753227233887
26.48,4.34372997283936
26.5,4.33523845672607
26.52,4.32623100280762
26.54,4.31846332550049
26.56,4.30792665481567
26.58,4.29608583450317
26.6,4.28662490844727
26.62,4.27780103683472
26.64,4.26641273498535
26.66,4.25224542617798
26.68,4.23982572555542
26.7,4.23128509521484
26.72,4.22097969055176
26.74,4.20660638809204
26.76,4.19517517089844
26.78,4.19517517089844
26.8,4.21198606491089
26.82,4.67349672317505
26.84,4.67349672317505
26.86,4.54594278335571
26.88,4.4512186050415
26.9,4.38647890090942
26.92,4.34859848022461
26.94,4.32002973556519
26.96,4.32002973556519
26.98,4.32300519943237
27,4.32300519943237
